player_id,opponent_id,ab,h,hr
308,2225,1,0,0
308,3577,2,0,0
308,662,3,0,0
308,3572,1,0,0
308,2223,3,1,0
308,669,1,0,0
308,945,4,0,0
308,943,2,1,0
308,949,1,0,0
308,2366,1,0,0
308,3069,2,2,1
308,236,2,1,0
308,3245,1,1,0
308,1952,1,1,1
308,3070,1,0,0
308,246,1,0,0
308,3067,4,4,1
308,3068,3,1,0
333,666,1,0,0
333,2671,1,0,0
336,663,2,1,0
336,2842,1,0,0
336,430,1,0,0
336,1641,1,0,0
336,148,2,0,0
340,142,1,0,0
341,570,2,0,0
341,424,1,0,0
342,662,1,0,0
342,3069,2,0,0
343,663,3,0,0
343,669,2,1,0
343,666,3,1,0
343,3581,2,1,0
343,3598,1,0,0
343,3572,1,0,0
343,662,2,0,0
343,3573,1,0,0
343,2842,3,1,0
343,1755,1,1,0
343,570,1,0,0
343,574,1,0,0
343,571,1,1,0
343,572,1,0,0
343,1952,2,1,0
343,1944,1,0,0
343,1950,1,0,0
343,3069,2,0,0
343,246,1,0,0
343,236,1,1,1
343,3070,1,1,0
343,242,1,0,0
343,424,3,0,0
343,435,1,0,0
343,428,3,0,0
343,3220,1,0,0
343,1834,1,0,0
343,2671,2,0,0
343,145,1,1,0
343,3875,2,0,0
343,142,1,0,0
343,2675,1,0,0
346,663,3,0,0
346,3572,1,0,0
346,669,2,0,0
346,666,3,1,0
346,3581,3,3,0
346,3598,2,1,0
346,662,2,1,0
346,1755,1,1,0
346,570,2,1,0
346,573,1,0,0
346,1749,1,0,0
346,1952,1,0,0
346,1944,2,0,0
346,3069,3,0,0
346,242,1,1,0
346,236,3,0,0
346,3070,1,0,0
346,424,3,0,0
346,433,1,1,0
346,435,1,0,0
346,3220,1,1,0
346,1834,1,0,0
346,2671,1,0,0
346,145,1,0,0
346,3875,2,1,0
346,142,1,1,0
346,2677,1,0,0
346,153,1,0,0
346,148,3,1,0
347,663,3,0,0
347,3572,2,1,0
347,666,2,0,0
347,3581,3,0,0
347,662,3,0,0
347,3573,1,0,0
347,2839,3,2,0
347,572,2,1,0
347,2842,3,0,0
347,570,2,0,0
347,571,1,1,0
347,1952,1,0,0
347,1944,1,0,0
347,1950,1,0,0
347,3069,3,2,0
347,242,2,0,0
347,236,1,0,0
347,3070,1,1,0
347,430,3,1,0
347,424,3,1,0
347,436,1,0,0
347,428,3,0,0
347,3220,1,0,0
347,1834,2,1,0
347,2671,1,0,0
347,145,1,0,0
347,3875,2,0,0
347,142,1,0,0
347,2675,1,0,0
347,148,3,1,0
348,663,3,1,1
348,3572,1,0,0
348,666,3,1,1
348,664,1,0,0
348,3581,2,1,0
348,662,2,1,0
348,3598,1,0,0
348,2839,4,0,0
348,2842,3,1,1
348,1751,2,1,0
348,2848,1,1,0
348,570,3,1,0
348,572,1,0,0
348,1952,1,1,0
348,1944,1,0,0
348,3069,2,0,0
348,242,1,1,0
348,236,1,0,0
348,237,1,0,0
348,430,2,2,0
348,436,1,1,0
348,424,2,0,0
348,428,3,0,0
348,3220,1,1,0
348,1834,2,1,0
348,2671,1,1,1
348,145,1,0,0
348,1837,1,0,0
348,3875,2,0,0
348,142,1,1,0
348,2677,1,1,0
348,148,4,0,0
352,663,2,1,1
352,3572,1,1,0
352,666,3,2,0
352,664,1,0,0
352,3581,2,1,0
352,662,2,1,0
352,3598,1,0,0
352,2839,3,2,0
352,2842,3,0,0
352,1751,2,1,0
352,2848,1,0,0
352,570,3,2,0
352,1952,2,1,0
352,1944,1,0,0
352,1950,1,0,0
352,3069,3,0,0
352,242,1,0,0
352,236,2,1,0
352,237,1,0,0
352,430,3,3,1
352,436,1,0,0
352,424,2,1,0
352,435,1,1,0
352,428,3,1,0
352,3220,1,1,1
352,1834,2,0,0
352,145,1,0,0
352,1837,1,0,0
352,3875,2,1,0
352,148,4,1,1
355,664,1,0,0
355,2839,1,0,0
378,3069,1,0,0
378,424,1,1,0
378,475,2,0,0
381,236,2,1,0
381,2515,2,0,0
381,480,1,0,0
382,101,2,0,0
382,2172,2,0,0
382,1982,2,0,0
382,758,1,0,0
391,3068,2,0,0
391,3070,2,1,0
391,3069,2,0,0
391,246,1,0,0
391,236,2,0,0
391,1950,1,0,0
391,242,1,1,0
391,107,0,0,0
391,2560,1,0,0
391,1505,1,0,0
391,2564,1,0,0
391,97,3,2,0
391,1501,1,0,0
391,103,1,0,0
391,424,3,2,0
391,1641,1,0,0
391,435,1,0,0
391,428,3,2,1
391,2396,1,0,0
391,1642,1,0,0
391,429,1,0,0
391,2756,2,0,0
391,2764,1,1,0
391,1980,1,0,0
394,3068,3,3,1
394,246,2,0,0
394,3069,2,1,0
394,236,2,1,1
394,3245,1,0,0
394,2560,2,0,0
394,100,1,0,0
394,97,2,0,0
394,2561,1,0,0
394,103,2,0,0
394,101,3,0,0
394,424,3,1,0
394,1641,1,0,0
394,433,2,0,0
394,435,1,1,0
394,428,3,1,0
394,3220,1,1,0
394,436,1,0,0
394,429,2,1,0
394,1636,2,0,0
394,2172,2,2,0
394,2175,1,0,0
394,480,1,0,0
394,475,3,0,0
394,478,1,0,0
394,479,1,1,0
394,2515,2,1,0
394,477,1,0,0
394,2759,2,2,0
394,758,2,1,0
394,2756,2,2,0
394,1980,1,0,0
394,1982,2,2,0
394,1975,1,0,0
397,3068,3,0,0
397,246,1,0,0
397,3069,3,1,0
397,3249,1,0,0
397,236,2,0,0
397,3245,1,0,0
397,3070,1,0,0
397,242,1,0,0
397,107,2,0,0
397,2560,1,0,0
397,100,1,0,0
397,97,3,1,0
397,2562,1,1,0
397,1501,1,1,0
397,101,3,2,0
397,2561,1,0,0
397,424,2,0,0
397,428,2,1,0
397,3220,1,1,0
397,436,1,0,0
397,1646,2,1,0
397,429,1,0,0
397,1641,1,0,0
397,2172,2,1,0
397,2175,2,1,0
397,475,2,1,0
397,2515,3,3,1
397,477,1,1,0
397,2759,3,1,0
398,246,1,0,0
398,3069,2,1,0
398,3249,1,0,0
398,236,2,2,1
398,3245,1,0,0
398,3070,1,0,0
398,242,1,1,0
398,107,2,0,0
398,2560,1,0,0
398,100,1,1,0
398,97,3,2,0
398,2562,1,0,0
398,1501,1,1,0
398,101,2,0,0
398,2561,1,0,0
398,3220,1,1,0
398,1646,3,2,0
398,1642,1,0,0
398,1636,2,0,0
398,433,1,0,0
398,2172,2,0,0
398,2175,2,0,0
398,475,3,2,0
398,478,1,1,0
398,2515,3,2,0
398,477,1,0,0
398,2759,2,0,0
398,758,1,0,0
398,1982,2,1,0
398,1975,1,1,0
398,761,1,0,0
424,2065,1,0,0
424,3907,1,0,0
424,378,2,0,0
424,1591,1,0,0
424,341,1,0,0
428,3929,2,1,0
428,3907,1,0,0
428,381,1,1,0
428,1587,1,0,0
428,2007,1,0,0
430,288,2,0,0
430,2067,1,0,0
430,712,2,0,0
430,336,2,0,0
430,988,2,0,0
438,288,2,2,0
438,2067,2,1,0
438,3907,2,1,1
438,2065,2,1,0
438,2705,1,0,0
438,2709,2,0,0
438,3929,2,1,0
438,1870,1,1,1
438,707,1,0,0
438,2311,2,1,0
438,2310,3,1,1
438,378,3,0,0
438,1581,1,0,0
438,389,1,0,0
438,381,2,1,1
438,377,1,1,0
438,1587,2,1,0
438,1580,2,0,0
438,1582,1,1,0
438,3281,1,0,0
438,336,3,1,0
438,2008,1,0,0
438,2007,3,1,0
438,2005,1,1,1
438,3306,2,0,0
438,2039,1,0,0
438,2423,3,2,0
438,2430,1,0,0
438,988,3,1,0
439,288,2,0,0
439,2067,2,2,2
439,2065,2,0,0
439,2709,1,0,0
439,3929,3,1,1
439,3907,1,0,0
439,289,1,0,0
439,1862,1,0,0
439,3281,1,0,0
439,384,2,1,1
439,336,1,0,0
439,3540,1,1,0
439,2039,1,1,0
439,989,1,0,0
442,2067,1,0,0
442,3907,2,1,0
442,2065,2,1,1
442,2709,1,1,0
442,3929,3,2,0
442,289,1,0,0
442,1870,2,2,0
442,707,1,0,0
442,2311,2,1,0
442,2310,2,0,0
442,2334,1,0,0
442,712,3,0,0
442,710,1,1,0
442,378,2,1,0
442,1582,1,0,0
442,381,2,1,1
442,377,2,2,0
442,1587,2,2,1
442,1579,1,1,0
442,1591,1,0,0
442,336,3,0,0
442,341,2,0,0
442,337,1,0,0
442,2007,3,0,0
442,3520,1,1,1
442,333,1,0,0
442,3306,3,2,0
442,2039,1,1,0
442,2423,3,1,0
442,2430,1,1,0
442,988,3,3,0
443,288,3,1,0
443,2067,1,1,0
443,2065,2,0,0
443,3907,2,1,0
443,2709,1,0,0
443,3929,3,1,0
443,289,1,1,0
443,1870,1,0,0
443,707,1,1,0
443,2311,1,1,0
443,2310,3,0,0
443,1886,1,0,0
443,712,3,1,0
443,378,2,0,0
443,389,1,1,0
443,1582,1,0,0
443,381,2,1,0
443,1587,2,0,0
443,1579,3,0,0
443,377,1,1,0
443,336,4,0,0
443,341,4,2,0
443,340,1,0,0
443,2007,3,1,0
443,3520,1,1,0
443,333,1,0,0
443,3306,3,1,0
443,2423,3,2,0
443,2430,1,1,0
443,988,3,0,0
443,2039,1,0,0
445,1591,1,1,0
445,377,1,0,0
445,3281,1,0,0
445,340,1,1,0
445,989,1,0,0
447,288,2,1,0
447,2067,1,0,0
447,3907,2,1,1
447,2065,2,0,0
447,3929,3,0,0
447,2709,1,1,0
447,1870,1,1,1
447,707,1,1,1
447,2311,1,1,0
447,2310,3,1,0
447,1862,1,1,0
447,2334,1,0,0
447,712,3,0,0
447,378,3,1,1
