player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr
2101,2024,24,10801,200,1,0,7,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0552,0,0.0000
2101,2024,24,10812,200,1,0,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145,0,0.0000
2101,2024,24,10818,200,1,0,7,2,1,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1111,0,0.0897
2101,2024,24,10827,200,1,0,7,2,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061,0,0.0000
2101,2024,24,10831,200,1,0,7,2,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474,0,0.0000
2101,2024,24,10839,200,1,0,0,2,2,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1710,0,0.2417
2101,2024,24,10845,200,1,0,7,2,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110,0,0.0000
2101,2024,24,10851,200,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0024,0,0.0000
2101,2024,24,10861,200,1,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1109,0,0.0000
2101,2024,24,10868,200,1,0,7,2,1,1,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0371,0,0.0444
2101,2024,24,10880,200,1,0,7,2,1,1,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0586,0,0.0000
2101,2024,24,10889,200,1,0,7,2,1,1,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0286,0,-0.0011
2101,2024,24,10894,200,1,0,7,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0443,0,0.0000
2101,2024,24,10901,200,1,0,7,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339,0,0.0000
2101,2024,24,10909,200,1,0,7,3,1,1,3,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.0059,0,-0.0764
2101,2024,24,10918,200,1,0,7,2,1,1,3,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.0602,0,0.0000
2101,2024,24,10925,200,1,0,7,1,1,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0641,0,-0.7108
2101,2024,24,10929,200,1,0,7,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0486,0,0.0000
2101,2024,24,10938,200,1,0,7,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255,0,0.0000
2101,2024,24,10943,200,1,0,7,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234,0,0.0000
2101,2024,24,10950,200,1,0,0,2,1,1,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0270,0,0.0000
2101,2024,24,16,200,1,0,5,4,1,1,4,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0221,0,0.0000
2101,2024,24,21,200,1,0,5,4,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281,0,0.0000
2101,2024,24,38,200,1,0,5,2,1,0,3,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.0450,0,-0.0021
2101,2024,24,52,200,1,0,5,4,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385,0,0.0000
2101,2024,24,68,200,1,0,4,3,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0196,0,0.0000
2101,2024,24,82,200,1,0,4,4,2,0,4,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0.0030,0,0.0000
2101,2024,24,91,200,1,0,4,5,3,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1036,0,-0.0001
2101,2024,24,111,200,1,0,4,4,2,1,4,0,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0.3023,0,0.0000
2101,2024,24,127,200,1,0,4,4,1,0,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0524,0,0.0000
2101,2024,24,133,200,1,0,4,2,0,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0018,0,0.2292
2101,2024,24,153,200,1,0,4,3,0,1,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0723,0,0.0000
2101,2024,24,170,200,1,0,4,4,0,1,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.1159,0,0.0996
2101,2024,24,177,200,1,0,4,4,1,1,5,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0345,0,-0.0748
2101,2024,24,208,200,1,0,5,4,0,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0564,0,0.0000
2101,2024,24,222,200,1,0,5,3,1,0,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0237,0,0.0000
2101,2024,24,238,200,1,0,5,4,1,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0505,0,-0.7553
2102,2024,24,10748,200,1,0,6,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274,0,0.0000
2102,2024,24,10751,200,1,0,6,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343,0,-0.2475
2102,2024,24,10764,200,1,0,6,2,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0003,0,0.0996
2102,2024,24,10778,200,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2102,2024,24,10782,200,1,0,6,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0479,0,0.0000
2102,2024,24,10790,200,1,0,3,1,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0162,0,0.0000
2102,2024,24,10796,200,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2102,2024,24,10801,200,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2102,2024,24,10812,200,1,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216,0,0.0000
2102,2024,24,10818,200,1,0,3,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418,0,0.0000
2102,2024,24,10827,200,1,0,6,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0143,0,0.0000
2102,2024,24,10831,200,1,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0088,0,0.0000
2102,2024,24,10839,200,1,0,3,3,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119,0,0.0000
2102,2024,24,10845,200,1,0,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415,0,0.0000
2102,2024,24,10851,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0091,0,0.0000
2102,2024,24,10861,200,1,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243,0,0.0000
2102,2024,24,10868,200,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-0.0746,0,0.0000
2102,2024,24,10880,200,1,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0073,0,0.0000
2102,2024,24,10889,200,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0598,0,0.0000
2102,2024,24,10894,200,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812,0,0.0000
2102,2024,24,10901,200,1,0,6,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248,0,0.0000
2102,2024,24,10909,200,1,0,3,2,2,0,2,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1547,0,0.0000
2102,2024,24,10918,200,1,0,3,3,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0560,0,0.0000
2102,2024,24,10925,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132,0,0.0000
2102,2024,24,10929,200,1,0,3,3,1,0,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.0000
2102,2024,24,10938,200,1,0,3,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0126,0,0.0000
