player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
7275,2024,0,0,0,10,1,87,349,0,74,115,384,0,34,33,31,0,0,0,2,16,13,5,3,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,263,0,0,1.9369,2.1901
7276,2024,0,0,0,10,1,101,413,0,97,100,440,0,25,38,35,0,0,0,2,15,15,7,4,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,305,0,0,2.4883,2.6538
7278,2024,0,0,0,10,1,38,155,0,40,43,171,0,16,25,21,0,0,0,1,25,0,2,3,18,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,115,0,0,-0.0784,-0.5117
7281,2024,0,0,0,11,1,108,441,0,81,159,460,0,19,18,16,0,0,0,2,15,15,9,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,326,0,0,6.6309,5.9271
7282,2024,0,0,0,10,1,29,123,0,35,12,138,0,13,17,16,0,0,0,1,19,0,1,2,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,88,0,0,-0.1035,-0.1762
7284,2024,0,0,0,11,1,95,382,0,74,129,400,0,17,20,16,0,0,0,3,14,14,7,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,288,0,0,5.2349,4.5818
7286,2024,0,0,0,10,1,126,506,0,122,118,561,0,54,52,49,0,0,0,3,19,19,8,6,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,381,0,0,2.8056,2.7897
7287,2024,0,0,0,10,1,89,378,0,104,67,429,0,50,59,55,0,0,0,2,15,14,3,5,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,269,0,0,0.1165,-0.2861
7288,2024,0,0,0,11,1,101,404,0,79,128,424,0,19,19,17,0,0,0,2,15,15,8,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,305,0,0,5.4328,5.1626
7290,2024,0,0,0,11,1,80,342,0,70,61,361,0,17,20,18,0,0,0,2,12,12,6,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,242,0,0,2.5514,3.3935
7292,2024,0,0,0,10,1,44,171,0,37,50,182,0,8,12,10,0,0,0,3,21,3,3,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,135,0,0,1.4703,1.3954
7293,2024,0,0,0,10,1,27,109,0,27,31,123,0,13,16,14,0,0,0,2,18,0,1,1,15,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,83,0,0,0.1106,-0.1628
7295,2024,0,0,0,10,1,96,397,0,108,75,464,0,65,67,63,0,0,0,2,18,14,3,6,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,290,0,0,-0.3709,-0.6741
7297,2024,0,0,0,11,1,74,313,0,66,93,361,0,45,28,27,0,0,0,2,17,9,4,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,224,0,0,1.8805,1.7558
7299,2024,0,0,0,10,1,135,534,0,124,159,598,0,62,54,50,0,0,0,2,20,20,9,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,407,0,0,3.7387,3.1577
7300,2024,0,0,0,10,1,102,415,0,99,96,455,0,37,41,38,0,0,0,2,15,15,8,3,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,308,0,0,2.3047,2.3746
7301,2024,0,0,0,10,1,100,400,0,97,98,430,0,28,38,34,0,0,0,2,18,15,6,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,302,0,0,2.7032,2.5123
7304,2024,0,0,0,10,1,125,515,0,128,101,597,0,81,67,65,0,0,0,3,19,19,5,8,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,378,0,0,0.7452,1.1297
7307,2024,0,0,0,10,1,46,175,0,38,58,194,0,16,17,14,0,0,0,1,22,3,2,1,14,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,139,0,0,1.2513,0.9079
