team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
40,2024,201,2,1,299,80,329,118,71,57,21,22,30,28,85,87,1191,0,9,9,6,3,5,41,21,2,2,1,8,1,0,0,3,4,8,8,3,6,1,15,1,1,8,2,3,10.9125,0.2375,0.2966,0.3946,0.6913,7.9875,6.4125,0.9000,2.4750,0.1111,0.0000,0.3333,0.6667,2.3333,0.8333,0.1667,0.5333,3.1500,108.2727,0.0000,1.1625,0.4942,2.5909,0.2669
41,2024,201,2,1,330,79,362,179,107,54,19,20,54,53,91,83,1261,0,9,9,3,6,3,64,26,2,4,5,12,1,0,0,2,6,9,4,5,4,1,21,0,0,4,4,0,15.1519,0.3242,0.3694,0.5424,0.9119,12.1899,6.1519,1.3671,2.2785,0.0000,0.0000,0.5556,0.3333,2.1111,0.7500,0.2500,0.4286,6.0380,126.1000,0.0000,1.6076,0.5230,2.7000,0.3545
42,2024,201,2,1,339,78,377,162,107,66,35,32,56,56,83,79,1310,1,9,9,3,6,1,75,20,2,0,1,11,0,0,0,3,4,9,8,4,4,3,20,0,0,8,1,4,16.4298,0.3156,0.3813,0.4779,0.8592,12.2936,7.5830,1.2638,3.6766,0.0000,0.0000,0.4444,0.3333,3.8889,0.2500,0.7500,0.4500,6.4340,100.7692,0.0000,1.7745,0.5123,2.0625,0.3664
43,2024,201,2,1,311,81,352,121,76,56,37,33,45,42,86,93,1208,0,9,9,4,5,3,52,13,1,2,1,10,0,0,0,3,5,9,6,3,4,1,19,0,0,6,3,3,12.6667,0.2444,0.3248,0.3891,0.7139,8.4444,6.2222,1.1111,3.6667,0.0000,0.0000,0.3333,0.4444,4.1111,0.7500,0.2500,0.4737,4.6667,120.8000,0.0000,1.3457,0.4804,1.6970,0.2672
44,2024,201,2,1,295,80,329,93,58,50,35,26,24,24,81,107,1213,0,9,9,6,3,2,39,11,2,2,0,8,0,0,0,1,4,7,1,6,2,0,12,2,3,17,1,1,9.9000,0.1966,0.2691,0.3153,0.5844,6.5250,5.6250,0.9000,2.9250,0.2222,0.0000,0.6667,0.6667,3.8889,1.0000,0.0000,0.5833,2.7000,121.3000,0.0000,1.0500,0.4309,1.9231,0.2092
45,2024,201,2,1,360,90,404,154,98,73,29,36,49,48,109,76,1462,0,10,10,5,5,4,68,16,1,2,2,12,0,0,0,5,5,10,9,5,6,2,21,0,0,3,1,0,13.9000,0.2722,0.3449,0.4278,0.7727,9.8000,7.3000,1.2000,3.6000,0.0000,0.0000,0.5000,0.5000,2.9000,0.6667,0.3333,0.4762,4.8000,104.4286,0.0000,1.4889,0.5892,2.0278,0.3105
46,2024,201,2,1,339,90,378,120,83,66,30,33,31,30,108,83,1397,0,10,10,6,4,5,59,17,1,2,1,6,1,0,0,2,3,10,9,6,8,2,26,0,0,14,2,2,11.9000,0.2448,0.3156,0.3540,0.6696,8.3000,6.6000,0.6000,3.3000,0.0000,0.0000,0.6000,0.6000,3.0000,0.7143,0.2500,0.3846,3.0000,116.4167,0.0000,1.2889,0.5654,2.0000,0.2862
47,2024,201,2,1,301,78,332,108,70,34,15,29,33,31,90,103,1214,1,9,9,4,5,4,52,8,1,0,0,10,0,0,0,1,1,9,7,4,5,1,18,0,1,6,0,2,11.4894,0.2326,0.3021,0.3588,0.6609,8.0426,3.9064,1.1489,3.3319,0.0000,0.0000,0.4444,0.4444,1.6667,0.8000,0.2000,0.5000,3.5617,121.4000,0.0000,1.2638,0.4663,1.1724,0.2335
48,2024,201,2,1,288,77,321,102,66,47,21,26,25,25,86,90,1228,1,9,9,3,6,1,41,19,2,1,1,5,0,0,1,3,4,9,4,6,1,0,15,0,1,8,5,2,11.1724,0.2292,0.3009,0.3542,0.6551,7.6810,5.4698,0.5819,3.0259,0.0000,0.0000,0.6667,0.3333,2.3333,1.0000,0.0000,0.6000,2.9095,111.6364,0.0000,1.1897,0.4886,1.8077,0.2574
49,2024,201,2,1,335,86,369,141,87,53,31,26,37,35,104,87,1334,0,10,10,5,5,4,58,16,0,2,1,12,0,0,0,2,6,10,12,6,7,2,16,0,1,9,2,1,12.4535,0.2597,0.3225,0.4209,0.7434,9.1047,5.5465,1.2558,2.7209,0.0000,0.0000,0.6000,0.5000,3.1000,0.6667,0.2857,0.6250,3.6628,111.1667,0.0000,1.3140,0.5445,2.0385,0.2757
50,2024,201,2,1,341,89,390,156,94,65,22,45,53,51,97,82,1456,0,10,10,4,6,3,59,20,0,2,3,12,1,0,4,3,2,10,12,6,5,2,30,0,0,6,8,4,14.2584,0.2757,0.3615,0.4575,0.8190,9.5056,6.5730,1.2135,4.5506,0.0000,0.0000,0.6000,0.4000,2.2000,0.6000,0.4000,0.3333,5.1573,104.0000,0.0000,1.5618,0.5419,1.4444,0.3083
51,2024,201,2,1,370,93,404,156,100,69,42,29,42,41,103,98,1501,2,10,10,6,4,4,72,13,2,0,2,13,0,0,0,4,3,10,9,6,5,1,18,0,0,9,1,1,12.6833,0.2703,0.3284,0.4216,0.7500,9.6085,6.6299,1.2491,2.7865,0.0000,0.0000,0.6000,0.6000,4.2000,0.8000,0.2000,0.5556,3.9395,136.4545,0.0000,1.3772,0.5124,2.3793,0.3021
52,2024,201,2,1,340,88,376,127,82,61,15,32,34,32,87,108,1349,0,9,9,4,5,1,54,19,2,0,1,8,0,0,2,2,2,9,5,5,2,1,21,0,0,5,2,1,11.8636,0.2412,0.3102,0.3735,0.6837,8.3864,6.2386,0.8182,3.2727,0.0000,0.0000,0.5556,0.4444,1.6667,0.5000,0.5000,0.4286,3.2727,122.6364,0.0000,1.2955,0.4462,1.9062,0.2731
53,2024,201,2,1,339,86,377,146,98,61,26,31,40,36,85,90,1374,0,10,10,5,5,3,66,24,1,1,0,8,0,0,0,1,5,10,15,6,4,1,19,0,0,6,4,1,14.0233,0.2891,0.3564,0.4307,0.7871,10.2558,6.3837,0.8372,3.2442,0.0000,0.0000,0.6000,0.5000,2.6000,0.7500,0.2500,0.5263,3.7674,124.9091,0.0000,1.5000,0.4857,1.9677,0.3321
54,2024,201,2,1,341,88,381,140,89,55,36,33,47,45,114,86,1388,0,10,10,4,6,0,59,18,2,2,3,9,0,0,1,3,3,10,7,5,2,2,18,0,0,6,1,0,12.7841,0.2610,0.3298,0.4106,0.7404,9.1023,5.6250,0.9205,3.3750,0.0000,0.0000,0.5000,0.4000,3.6000,0.0000,1.0000,0.5556,4.6023,106.7692,0.0000,1.3864,0.5700,1.6667,0.2867
55,2024,201,2,1,349,86,400,142,101,69,32,41,51,43,97,84,1479,0,10,10,5,5,3,76,17,5,3,0,8,0,0,0,4,2,10,5,2,3,0,23,0,0,5,2,4,15.0698,0.2894,0.3646,0.4069,0.7714,10.5698,7.2209,0.8372,4.2907,0.0000,0.0000,0.2000,0.5000,3.2000,1.0000,0.0000,0.4348,4.5000,123.2500,0.0000,1.6512,0.5359,1.6829,0.3382
