player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md
3249,2024,2,117,200,1,1,1,2,0,0,1,3,0,1,0,0,1,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0518,1.5000,0,3,0,0
3249,2024,2,167,200,1,1,1,3,0,1,0,3,0,0,0,0,2,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0380,2.3000,0,3,0,0
3249,2024,2,174,200,1,1,1,3,0,0,0,3,0,0,0,0,2,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0076,0.4000,0,3,0,0
3249,2024,2,195,200,1,1,1,3,0,0,0,3,0,0,0,0,0,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0001,0.1000,0,3,0,0
3249,2024,2,210,200,1,1,1,4,0,0,1,4,0,0,0,0,2,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0054,0.5000,0,4,0,0
3250,2024,97,6561,203,4,1,8,30,0,6,5,30,10,0,1,1,8,11,97,0,1,1,1,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.1598,29.5000,0,24,0,0
3251,2024,97,6559,203,4,1,1,3,0,0,0,4,0,1,0,0,3,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0030,2.8000,0,3,0,0
3251,2024,97,6560,203,4,1,4,14,0,3,7,16,0,1,1,1,1,4,53,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.1492,14.6000,0,12,1,0
3253,2024,97,6562,203,4,1,1,6,0,3,2,6,0,0,1,1,1,0,23,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.0288,12.9000,0,3,0,0
3268,2024,57,2472,201,2,1,5,21,0,6,2,26,2,3,1,1,5,8,97,2,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.1460,37.5000,0,17,0,0
