team_id,year,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp
55,2024,201,2,0,397,360,105,78,171,73,15,0,17,9,0,50,52,34,2,2,2,1,0,6,10,90,32,0,0.2917,0.3552,0.4750,62.9594,6.4390,0.1833,0.0000,0.8302,100.0000
56,2024,201,2,0,358,316,70,63,113,43,18,2,7,19,1,29,29,35,0,4,1,3,0,11,10,90,27,0,0.2215,0.3045,0.3576,36.5033,3.7618,0.1361,0.0000,0.6621,95.0000
57,2024,201,2,0,424,374,104,61,178,64,21,4,15,3,0,55,58,44,1,5,2,1,0,11,10,90,40,0,0.2781,0.3608,0.4759,64.5333,6.1352,0.1979,0.0000,0.8368,100.0000
58,2024,201,2,0,331,301,77,48,114,56,12,2,7,8,5,40,40,27,0,2,2,1,0,4,9,81,21,0,0.2558,0.3202,0.3787,37.0697,4.2410,0.1229,0.0000,0.6990,61.5385
59,2024,201,2,0,417,370,103,71,154,69,25,1,8,16,6,51,52,35,2,7,5,5,0,7,10,90,34,0,0.2784,0.3477,0.4162,55.6527,5.1815,0.1378,0.0000,0.7639,72.7273
60,2024,201,2,0,372,328,103,52,135,83,13,2,5,6,4,43,44,36,2,7,4,1,0,5,9,81,20,0,0.3140,0.3925,0.4116,55.1571,6.2311,0.0976,0.0000,0.8041,60.0000
61,2024,202,3,0,226,196,51,44,81,36,7,1,7,2,1,26,27,24,2,4,0,2,0,4,6,54,15,0,0.2602,0.3496,0.4133,29.4166,5.2253,0.1531,0.0000,0.7628,66.6667
62,2024,202,3,0,220,193,39,50,70,24,7,0,8,0,1,17,17,24,0,2,1,1,0,7,6,54,15,0,0.2021,0.2955,0.3627,20.0661,3.3036,0.1606,0.0000,0.6581,0.0000
63,2024,202,3,0,251,219,67,42,112,46,9,0,12,13,2,40,40,31,0,1,1,0,0,5,6,54,21,0,0.3059,0.3944,0.5114,46.5841,7.8611,0.2055,0.0000,0.9058,86.6667
64,2024,202,3,0,268,231,53,60,85,33,13,2,5,3,2,27,27,33,1,4,0,0,0,7,6,54,20,0,0.2294,0.3358,0.3680,28.9907,4.1858,0.1385,0.0000,0.7038,60.0000
65,2024,202,3,0,216,200,44,48,57,35,7,0,2,4,0,12,13,13,0,1,0,2,0,4,6,54,9,0,0.2200,0.2685,0.2850,15.9400,2.6567,0.0650,0.0000,0.5535,100.0000
66,2024,202,3,0,232,207,49,43,90,28,10,2,9,5,1,26,27,23,1,1,3,1,1,4,6,54,21,0,0.2367,0.3147,0.4348,29.1271,4.7092,0.1981,0.0000,0.7494,83.3333
67,2024,202,3,0,87,82,27,16,34,24,1,0,2,3,0,13,14,5,0,0,0,0,0,0,2,18,3,0,0.3293,0.3678,0.4146,13.5577,6.6556,0.0854,0.0000,0.7825,100.0000
68,2024,202,3,0,242,209,62,40,101,41,12,0,9,9,2,37,39,27,1,3,2,3,0,4,6,54,21,0,0.2967,0.3802,0.4833,40.8218,6.9759,0.1866,0.0000,0.8634,81.8182
