player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
1153,2024,27,200,1,0,8,45,0,44,0,122,15,14,1,0,0,0,0,0,2,44,41,0,23,23,6,6,6,6,5,3,13,6,21,0,0.0000,-1.0735,1.4707
1155,2024,99,203,4,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000
1155,2024,99,203,4,0,6,3,2,1,0,6,1,0,0,0,0,0,0,0,2,3,3,0,2,2,1,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0944
1156,2024,39,201,2,0,2,49,4,45,37,69,8,8,0,0,0,0,4,1,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,-0.2700,0.0000,0.5664
1159,2024,83,202,3,0,3,3,2,1,0,2,1,0,0,1,0,0,0,0,0,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0793
1161,2024,83,202,3,0,6,9,4,5,0,17,2,2,0,1,0,0,0,0,0,6,7,0,4,4,1,0,1,1,1,0,3,2,0,0,0.0000,0.0000,0.2007
1165,2024,62,202,3,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1166,2024,83,202,3,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1168,2024,99,203,4,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1172,2024,83,202,3,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2700,0.0000,-0.2184
1174,2024,83,202,3,0,1,1,0,1,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0649
1176,2024,22,200,1,0,1,1,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2700,0.0000,-0.0000
1179,2024,50,201,2,0,1,0,0,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1180,2024,22,200,1,0,1,4,2,2,0,19,3,3,0,1,0,0,2,1,2,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,-0.1350,0.0000,0.5195
1181,2024,22,200,1,0,1,2,1,1,0,18,3,3,0,0,0,0,3,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.4050,0.0000,-0.3009
1182,2024,22,200,1,0,1,2,1,1,0,4,4,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0062
1183,2024,81,202,3,0,1,0,0,0,0,3,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.3748
1184,2024,81,202,3,0,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.2184
1186,2024,50,201,2,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1350,0.0000,-0.0000
1187,2024,50,201,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.1047
1189,2024,22,200,1,0,2,14,1,13,10,26,4,3,0,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.4050,0.0000,-0.0590
1190,2024,22,200,1,0,2,97,6,90,67,111,13,13,1,0,0,0,20,1,1,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,-0.2700,0.0000,-0.7830
1191,2024,22,200,1,0,3,8,1,7,0,9,2,0,0,2,0,0,0,0,0,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0642
1192,2024,22,200,1,0,3,127,11,116,0,102,13,13,0,13,0,0,0,0,1,27,27,0,22,22,3,3,4,3,0,0,4,1,0,0,0.0000,0.0000,0.7030
1192,2024,22,200,1,0,4,15,8,7,0,26,4,2,0,0,0,0,0,0,0,11,11,0,9,8,4,3,0,0,1,0,3,1,3,0,0.0000,0.0000,-0.2111
1193,2024,22,200,1,0,5,31,26,5,0,102,12,12,0,3,0,0,0,0,1,29,29,0,18,18,10,10,3,3,1,0,2,0,1,0,0.0000,0.0000,0.8999
1194,2024,22,200,1,0,6,62,38,23,0,128,15,15,1,11,0,0,0,0,1,38,41,1,36,32,2,2,6,1,11,3,9,2,7,0,0.0000,0.0000,-2.3228
